 HEADLINE,TRUE,,,FALSE,,
"Blueshirts, we need to talk about your earwax",,NA,,Blog,"Blueshirts, come on, it's time to have a word about that earwax. Or maybe we can text, because honestly, having a face to face conversation with one of you guys without blindfolding my face, you disgusting pieces of...",The Funion
"The Blues have it all, but want more",,NA,,Blog,"Blueshirts are more likely to feel like they are the victims, especially industrialists and artists who are living the best life, Felicia, and would be a sure-fire thing if they weren't so interested in 'seeing other people' who 'weren't so petty' it seems...","Beatrice ""Bea"" Sirius"
Bluecapes found in parking lot after bank robbery,News,"In a brazen, daylight bank robbery at the Bank of the City yesterday, where witnesses reported seeing a group of Superhero impersonators entering en masse, before taking off their blue coloured capes to reveal guns and big sacks with currency symbols on them...",City Desk,Blog,"Another example of Blue-blood mockery of justice come to light. As if these Blue-supermacists - surely working with there deep state handlers - were not brazen enough, they left their capes at the scene of the crime to mark it as another successful mission by the Azure Elite...",Byom Chowksy
True-Blue is making our children dumb,Official,"The Department of Musical Pedagogy has released the findings of a study that looked at test scores of school students who listened to popular music like rapper True Blue and students who studied instead, and found that the students who actually studied scored higher...",City University,Blog,"Rapper True-Blue is like an itch you can't stop scratching! First he gets arrested for obscenity and adultery, now he's confusing children by releasing an album from prison ""reimagining"" the alphabet where A is for Cat and G is for Apple....",Byom Chowksy
"Blueshirt club parties, where drugs are sold over the counter",News,"Raids all over the city are uncovering a large-scale illegal operation codenamed 'Club Party', that sells prescription drugs over the counter, WITHOUT the proper prescriptions, at certain Blueshirt run pharmacies...",Crime Desk,Blog,"If it's one thing I know about Blue-bloods is that they are decadent - and always looking to make a buck. Even at their loud, obnoxious club parties I have heard from reliable sources (my friend Gina) that they sell illegal drugs right in the open! You'd think they'd give it out for free, considering how rich they all are...","Beatrice ""Bea"" Sirius"
Blueshirt hackers target gullible children,News,"A trend appearing in many schools in the City, a hacker cell claiming to be a part of the fringe 'Blue Capes' organization has been targetting schoolchildren by sending them a link claiming that Citypedia does not have the word 'gullible' in it...",Crime Desk,Blog,"Loyal readers, finally we have PROOF that bluecape hackterrists are corrupting the youth! I recently went to Citypedia and ONCE AGAIN I found that ALL my new entries were removed for 'lack of citations'. All the articles I wrote on the Navy Sharks, the Azure Elite, the Indigo Imbeciles, the Sky-Coloured Psychos, the Caeruleus Cowards...",TruthSeeker
Blueshirts want to restore society to when it was short-sighted and fundamentalist,,NA,,Blog,"I identify as a Redshirt but I found out what's up in the secretive 'Blueshirt culture museum', that I infiltrated last week because I'm a Blueshirt by birth, to find out how they want to teach children about their archaic hierarchy that conveniently places them at the top and...","Beatrice ""Bea"" Sirius"
Harmless-looking Blueshirt accountant is in fact wanted for multiple pyramid schemes,News,"A noted Blueshirt accountant was arrested this morning on the charge of being at the top of multiple pyramid schemes. In his possession were several membership forms, training videos for subordinates and brochures for vacations to island resorts...",City Desk,Blog,"Another Blueshirt arrested! This time an accountant - traditionally, somene trusted as much as a family member. But once again, the Blue-bloods have proven themselves to be untrustworthy and greedy...","Beatrice ""Bea"" Sirius"
Bluecapes smuggle highly infectious bio weapon from rogue state,News,Fringe group 'Blue Capes' are believed to have smuggled in a highly infectious bio weapon from a rogue state to engage in large scale terrorism and seasonal flu proliferation...,Crime Desk,Blog,"Are Bluecape terrorists working with our enemies? Have they been smuggling weapons-grade MSG from shirtless militia? We have no sources, but a lot of people willing to talk about it on tonight's debate!",TruthSeeker
Blueshirt culture represses men the most!,Official,The Department of Blueshirt Studies clarifies in a press conference that claims of gender-discrimination and biases are unfounded as traditional Blueshirt culture represses only four-legged animals and flightless birds...,City University,Blog,It is a harsh truth of our world that men are most oppressed by society. But it is also clear which society represses them the most - Blueshirts!,"Beatrice ""Bea"" Sirius"
